date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:09:43	136470/136470	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:46%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-pagination.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-pagination.html	(from )
08:09:44	123930/123930	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:47%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-dropdowns.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-dropdowns.html	(from )
08:09:45	120216/120216	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:48%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-cards.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-cards.html	(from )
08:09:46	117961/117961	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:50%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-composite-cards.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-composite-cards.html	(from )
08:09:47	104443/104443	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:51%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-counters.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-counters.html	(from )
08:09:49	106394/106394	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:52%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-audio-video.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-audio-video.html	(from )
08:09:50	98803/98803	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:53%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-masonry.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-masonry.html	(from )
08:09:51	92743/92743	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:55%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-snackbar.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-snackbar.html	(from )
08:09:52	148638/148638	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:56%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-collapses.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-collapses.html	(from )
08:09:54	158672/158672	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:57%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-horizontal-tabs.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-horizontal-tabs.html	(from )
08:09:55	151047/151047	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:09:58%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-vertical-tabs.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-vertical-tabs.html	(from )
08:09:56	127725/127725	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:10:00%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-icons-basic.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-icons-basic.html	(from )
08:09:58	343019/343019	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2012:10:02%20GMT	https://agmstudio.io/themes/material-style/1.2.1/component-icons-fontawesome.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/component-icons-fontawesome.html	(from )
